data,produto,categoria,cidade,vendedor,quantidade,preco_unitario
2023-08-25,Tablet,Tecnologia,Curitiba,Carlos,4,4170
04/09/2023,Teclado,Tecnologia,Salvador,João,2,1779
08/08/2023,Teclado,Tecnologia,Recife,Lucas,1,2241
2023-08-06,Mouse,Tecnologia,Curitiba,Fernanda,1,4746
2024-06-05,Smartphone,Tecnologia,Fortaleza,Maria,4,2949
2023-11-21,Tablet,Tecnologia,Rio de Janeiro,João,4,2939
2023-06-09,Mouse,Tecnologia,São Paulo,João,4,2031
2024-11-21,Teclado,Tecnologia,Rio de Janeiro,Lucas,4,4013
2023-02-04,Monitor,Tecnologia,Rio de Janeiro,Pedro,2,875
2023-07-15,Notebook,Tecnologia,sao paulo,Ana,2,1616
2023-10-04,Notebook,Tecnologia,sao paulo,Pedro,4,
2023-04-09,Notebook,Tecnologia,Curitiba,Ana,2,2243
2024-11-25,Notebook,Tecnologia,São Paulo,João,1,3014
2024-08-18,Cadeira,Moveis,São Paulo,Ana,2,4592
2024-03-20,Mouse,Tecnologia,Recife,Pedro,4,4460
02/01/2024,Smartphone,Tecnologia,Curitiba,Ana,1,4591
2023-05-31,Teclado,Tecnologia,Belo Horizonte,Carlos,3,2256
2024-09-25,Mesa,Moveis,Rio de Janeiro,Fernanda,3,832
2023-01-09,Mouse,Tecnologia,sao paulo,Maria,4,3424
25/09/2024,Notebook,Tecnologia,sao paulo,Lucas,1,3336
2023-12-08,Notebook,Tecnologia,Recife,Carlos,3,4412
2024-02-19,Mouse,Tecnologia,Fortaleza,Fernanda,4,2314
2024-03-26,Cadeira,Moveis,Recife,Ana,2,1343
2023-12-27,Tablet,Tecnologia,RIO DE JANEIRO,Fernanda,3,2096
04/01/2024,Mouse,Tecnologia,Curitiba,Carlos,1,233
2023-07-22,Teclado,Tecnologia,RIO DE JANEIRO,Maria,4,1350
2023-08-21,Mesa,Moveis,Salvador,Carlos,3,3586
2024-10-17,Monitor,Tecnologia,sao paulo,Carlos,3,1453
2024-02-12,Mouse,Tecnologia,sao paulo,Maria,4,1245
2023-06-27,Mouse,Tecnologia,Salvador,Fernanda,1,4236
2023-07-20,Notebook,Tecnologia,Fortaleza,Lucas,4,2608
2024-08-16,Cadeira,Moveis,sao paulo,Carlos,1,1938
08/09/2023,Smartphone,Tecnologia,São Paulo,Maria,3,1115
27/08/2023,Tablet,Tecnologia,São Paulo,,1,4258
01/09/2024,Notebook,Tecnologia,,,3,erro
2024-12-09,Mouse,Tecnologia,Curitiba,Lucas,2,1560
2024-04-02,Smartphone,Tecnologia,Recife,Carlos,1,2148
2024-05-02,Notebook,Tecnologia,Rio de Janeiro,Carlos,4,1674
2023-11-02,Cadeira,Moveis,RIO DE JANEIRO,João,2,335
2023-10-30,Tablet,Tecnologia,Fortaleza,,1,4081
04/12/2024,Cadeira,Moveis,Fortaleza,Fernanda,2,1429
2023-11-04,Smartphone,Tecnologia,Belo Horizonte,Maria,1,1458
2023-03-22,Monitor,Tecnologia,São Paulo,Ana,4,237
2023-03-10,Mouse,Tecnologia,Fortaleza,Fernanda,1,4400
24/10/2024,Notebook,Tecnologia,Recife,Ana,3,3545
2023-10-08,Tablet,Tecnologia,Rio de Janeiro,Lucas,3,766
20/02/2023,Smartphone,Tecnologia,Salvador,Lucas,1,4799
2024-05-27,Cadeira,Moveis,São Paulo,Carlos,4,2493
14/03/2023,Smartphone,Tecnologia,São Paulo,Maria,3,2361
14/09/2023,Mouse,Tecnologia,sao paulo,Carlos,3,1376
2024-04-18,Cadeira,Moveis,,Pedro,2,3387
2023-01-03,Mesa,Moveis,Salvador,Pedro,2,1631
15/01/2023,Monitor,Tecnologia,Belo Horizonte,João,3,4680
19/08/2023,Notebook,Tecnologia,Recife,João,2,4732
2024-01-29,Mouse,Tecnologia,Salvador,Maria,1,1269
2024-01-04,Mesa,Moveis,Recife,Maria,2,
2024-03-18,Tablet,Tecnologia,Curitiba,Carlos,1,3912
2024-12-10,Teclado,Tecnologia,sao paulo,Fernanda,4,2663
31/08/2023,Notebook,Tecnologia,Salvador,Maria,1,2695
2023-03-16,Mouse,Tecnologia,sao paulo,Carlos,2,217
2024-07-27,Monitor,Tecnologia,Fortaleza,Lucas,3,2862
06/10/2024,Mouse,Tecnologia,Recife,João,2,1910
2024-07-12,Mouse,Tecnologia,Recife,Lucas,2,4515
16/09/2023,Monitor,Tecnologia,Belo Horizonte,Maria,2,2139
2023-01-13,Mouse,Tecnologia,RIO DE JANEIRO,João,4,420
2024-07-03,Notebook,Tecnologia,Rio de Janeiro,Carlos,2,1218
2024-01-11,Teclado,Tecnologia,São Paulo,Carlos,2,2735
15/12/2023,Mouse,Tecnologia,Fortaleza,Lucas,1,1352
2023-01-05,Teclado,Tecnologia,RIO DE JANEIRO,Maria,2,2721
2023-10-22,Tablet,Tecnologia,São Paulo,Fernanda,4,3862
2023-05-23,Mesa,Moveis,Rio de Janeiro,Carlos,1,1348
2024-09-07,Teclado,Tecnologia,Fortaleza,Fernanda,3,2070
07/07/2024,Monitor,Tecnologia,Recife,Lucas,3,2135
2024-03-16,Cadeira,Moveis,Recife,Carlos,1,1050
2024-06-05,Smartphone,Tecnologia,Recife,Lucas,2,3012
2024-11-26,Tablet,Tecnologia,Rio de Janeiro,Pedro,4,3328
2024-09-18,Mesa,Moveis,Curitiba,Ana,4,893
2023-09-11,Monitor,Tecnologia,sao paulo,Carlos,2,3305
2024-09-14,Smartphone,Tecnologia,Recife,Lucas,3,3631
07/05/2023,Tablet,Tecnologia,Fortaleza,Lucas,4,3549
2023-10-23,Cadeira,Moveis,Curitiba,Maria,3,1892
24/02/2024,Cadeira,Moveis,Belo Horizonte,Pedro,1,3172
2024-10-22,Tablet,Tecnologia,Curitiba,Maria,1,301
2024-07-28,Notebook,Tecnologia,Belo Horizonte,Maria,2,2222
2024-02-22,Monitor,Tecnologia,Fortaleza,Carlos,4,1054
2023-01-25,Tablet,Tecnologia,São Paulo,Lucas,2,3672
2024-10-23,Mesa,Moveis,Recife,,2,3220
2023-05-28,Notebook,Tecnologia,Belo Horizonte,João,4,1824
2023-05-21,Tablet,Tecnologia,São Paulo,Lucas,3,1051
2023-10-13,Teclado,Tecnologia,,Fernanda,3,2165
2023-07-13,Smartphone,Tecnologia,Fortaleza,Fernanda,1,2261
2023-09-21,Mouse,Tecnologia,Fortaleza,Carlos,3,4995
2024-01-15,Smartphone,Tecnologia,sao paulo,João,3,1923
2024-03-18,Notebook,Tecnologia,Fortaleza,João,4,3410
21/09/2023,Mouse,Tecnologia,Recife,Ana,4,1411
2023-07-01,Teclado,Tecnologia,Belo Horizonte,Maria,3,922
2024-11-03,Mesa,Moveis,Recife,Lucas,3,3795
2023-03-23,Mouse,Tecnologia,Rio de Janeiro,Pedro,3,3694
2023-04-29,Mesa,Moveis,RIO DE JANEIRO,Maria,1,904
2024-05-14,Teclado,Tecnologia,sao paulo,Pedro,4,4788
2024-12-27,Cadeira,Moveis,RIO DE JANEIRO,Maria,1,4053
2023-10-08,Teclado,Tecnologia,Recife,Maria,2,1401
29/01/2023,Smartphone,Tecnologia,Rio de Janeiro,Lucas,3,erro
2023-12-22,Smartphone,Tecnologia,Salvador,Lucas,2,4783
2023-10-14,Monitor,Tecnologia,RIO DE JANEIRO,Lucas,4,709
2024-11-15,Mesa,Moveis,Rio de Janeiro,Ana,1,
29/12/2023,Cadeira,Moveis,Curitiba,Pedro,1,3463
2023-01-11,Tablet,Tecnologia,Fortaleza,Carlos,1,286
2023-02-24,Smartphone,Tecnologia,São Paulo,Maria,2,4601
28/05/2023,Mouse,Tecnologia,Rio de Janeiro,João,4,4020
25/03/2024,Smartphone,Tecnologia,RIO DE JANEIRO,Lucas,1,2443
2024-09-07,Monitor,Tecnologia,Fortaleza,Carlos,3,4326
2024-06-07,Cadeira,Moveis,São Paulo,Maria,4,4190
11/05/2024,Notebook,Tecnologia,sao paulo,Fernanda,2,3763
2023-03-22,Teclado,Tecnologia,Rio de Janeiro,João,2,809
2024-10-16,Mouse,Tecnologia,Belo Horizonte,João,1,146
2023-03-27,Mesa,Moveis,RIO DE JANEIRO,Pedro,2,4530
2024-05-12,Tablet,Tecnologia,Belo Horizonte,Pedro,1,3394
2024-03-18,Smartphone,Tecnologia,Rio de Janeiro,Pedro,1,1282
2023-06-20,Teclado,Tecnologia,sao paulo,João,3,4559
2023-12-15,Mouse,Tecnologia,Rio de Janeiro,Fernanda,1,2869
2023-06-19,Monitor,Tecnologia,Rio de Janeiro,Pedro,3,4954
08/02/2023,Monitor,Tecnologia,Curitiba,Ana,1,2132
2023-09-29,Notebook,Tecnologia,RIO DE JANEIRO,Fernanda,3,2524
2023-12-06,Mesa,Moveis,sao paulo,Carlos,2,3860
2023-11-20,Smartphone,Tecnologia,RIO DE JANEIRO,Fernanda,1,erro
10/12/2023,Notebook,Tecnologia,Curitiba,Pedro,3,2141
2024-12-10,Mouse,Tecnologia,Rio de Janeiro,João,3,3515
17/07/2024,Mesa,Moveis,Rio de Janeiro,João,4,984
2024-05-20,Smartphone,Tecnologia,Belo Horizonte,João,2,1896
2023-04-09,Notebook,Tecnologia,Fortaleza,Maria,1,1696
2023-03-03,Smartphone,Tecnologia,sao paulo,Lucas,3,4355
2023-03-30,Mesa,Moveis,RIO DE JANEIRO,Pedro,2,1480
2024-06-24,Monitor,Tecnologia,sao paulo,João,1,1455
30/01/2024,Teclado,Tecnologia,Curitiba,Maria,4,erro
2024-03-29,Smartphone,Tecnologia,São Paulo,Maria,4,3120
2023-10-28,Tablet,Tecnologia,sao paulo,Maria,1,2262
2023-10-16,Tablet,Tecnologia,São Paulo,Pedro,3,2483
2024-11-11,Monitor,Tecnologia,Salvador,Ana,1,1816
2023-05-13,Mesa,Moveis,Belo Horizonte,Maria,2,2908
2024-11-02,Smartphone,Tecnologia,Recife,Maria,2,1674
2024-08-11,Cadeira,Moveis,São Paulo,João,3,2085
2023-12-26,Notebook,Tecnologia,Fortaleza,Carlos,4,4643
18/02/2024,Monitor,Tecnologia,Curitiba,Lucas,1,1347
15/07/2023,Cadeira,Moveis,São Paulo,Ana,4,1365
2024-02-05,Cadeira,Moveis,Rio de Janeiro,,1,121
2024-12-04,Cadeira,Moveis,Recife,Lucas,4,3847
07/01/2023,Mouse,Tecnologia,Belo Horizonte,Maria,1,4099
2024-03-05,Smartphone,Tecnologia,Recife,Maria,4,138
2023-03-25,Mesa,Moveis,sao paulo,Ana,3,3878
2023-01-21,Teclado,Tecnologia,Fortaleza,João,1,4126
2024-01-22,Teclado,Tecnologia,Rio de Janeiro,Lucas,2,4063
2024-06-07,Monitor,Tecnologia,RIO DE JANEIRO,João,4,2355
05/11/2023,Teclado,Tecnologia,Fortaleza,Lucas,3,3733
2024-11-23,Tablet,Tecnologia,RIO DE JANEIRO,Carlos,2,3046
30/03/2024,Cadeira,Moveis,Salvador,João,4,1975
2024-12-26,Mouse,Tecnologia,São Paulo,Lucas,1,2533
2023-11-16,Smartphone,Tecnologia,RIO DE JANEIRO,João,3,4802
2023-04-12,Mouse,Tecnologia,RIO DE JANEIRO,João,3,313
15/02/2023,Mouse,Tecnologia,Rio de Janeiro,Ana,4,2820
2023-01-02,Notebook,Tecnologia,Recife,Maria,1,4144
13/04/2023,Cadeira,Moveis,Rio de Janeiro,Fernanda,3,189
16/04/2023,Smartphone,Tecnologia,Fortaleza,Pedro,1,1995
2023-01-09,Cadeira,Moveis,Rio de Janeiro,Ana,3,2370
2024-11-20,Tablet,Tecnologia,Belo Horizonte,Pedro,4,4306
2023-07-27,Mouse,Tecnologia,Fortaleza,Fernanda,2,121
2024-11-30,Notebook,Tecnologia,RIO DE JANEIRO,Lucas,3,2234
2023-05-02,Monitor,Tecnologia,Belo Horizonte,Lucas,2,3527
2023-10-15,Mesa,Moveis,Salvador,Lucas,2,2089
2023-11-08,Tablet,Tecnologia,Fortaleza,Lucas,3,3071
2023-07-26,Teclado,Tecnologia,sao paulo,Ana,4,3988
2024-05-30,Teclado,Tecnologia,São Paulo,Pedro,2,1055
2024-09-08,Tablet,Tecnologia,Rio de Janeiro,Ana,1,3911
2023-10-22,Cadeira,Moveis,Fortaleza,Lucas,3,4381
2024-07-05,Smartphone,Tecnologia,Recife,Carlos,1,3014
2023-10-25,Mesa,Moveis,Curitiba,Carlos,2,101
2024-07-06,Teclado,Tecnologia,sao paulo,Fernanda,4,4576
2023-03-25,Notebook,Tecnologia,RIO DE JANEIRO,Ana,2,3316
2023-06-12,Smartphone,Tecnologia,Belo Horizonte,Fernanda,3,4655
2024-01-30,Mesa,Moveis,RIO DE JANEIRO,João,2,369
2023-10-03,Teclado,Tecnologia,Recife,Ana,4,2460
2023-04-17,Notebook,Tecnologia,sao paulo,Ana,1,2312
2023-06-05,Tablet,Tecnologia,Recife,Maria,2,719
03/10/2024,Cadeira,Moveis,São Paulo,Fernanda,1,
17/07/2023,Monitor,Tecnologia,Recife,Lucas,3,1108
2023-08-04,Smartphone,Tecnologia,RIO DE JANEIRO,Fernanda,2,4165
2023-07-03,Mesa,Moveis,Recife,Fernanda,2,1018
2024-09-29,Tablet,Tecnologia,Belo Horizonte,,4,2069
2023-05-09,Teclado,Tecnologia,Rio de Janeiro,João,1,4712
2023-04-29,Mesa,Moveis,São Paulo,Maria,2,3585
2023-10-30,Tablet,Tecnologia,Recife,João,4,1086
2023-05-27,Notebook,Tecnologia,RIO DE JANEIRO,Maria,2,3224
08/08/2023,Cadeira,Moveis,RIO DE JANEIRO,João,4,674
07/08/2024,Tablet,Tecnologia,Rio de Janeiro,Lucas,3,588
2024-05-08,Cadeira,Moveis,RIO DE JANEIRO,Fernanda,3,3653
2023-12-31,Monitor,Tecnologia,Curitiba,Fernanda,4,921
2023-03-17,Notebook,Tecnologia,RIO DE JANEIRO,João,3,1016
2024-05-11,Notebook,Tecnologia,Rio de Janeiro,Carlos,2,3438
2023-01-03,Notebook,Tecnologia,Curitiba,Lucas,4,2963
2024-10-26,Smartphone,Tecnologia,Recife,Fernanda,2,4499
2023-12-09,Monitor,Tecnologia,Curitiba,Fernanda,2,2511
2023-12-02,Monitor,Tecnologia,Recife,Lucas,4,814
14/04/2024,Teclado,Tecnologia,Recife,Carlos,2,1063
2024-10-30,Monitor,Tecnologia,Rio de Janeiro,Maria,3,205
2024-08-11,Notebook,Tecnologia,Belo Horizonte,Lucas,1,4545
2024-08-05,Mesa,Moveis,Recife,Ana,1,544
2024-01-20,Mouse,Tecnologia,Salvador,Carlos,1,erro
2024-12-26,Teclado,Tecnologia,sao paulo,Maria,2,4716
2024-09-28,Notebook,Tecnologia,Curitiba,Ana,4,4915
2024-10-25,Smartphone,Tecnologia,Fortaleza,Ana,4,3373
2024-03-14,Smartphone,Tecnologia,Rio de Janeiro,João,3,1684
22/10/2024,Mesa,Moveis,Belo Horizonte,Pedro,4,2952
2024-08-12,Smartphone,Tecnologia,Belo Horizonte,Lucas,1,869
2024-07-07,Smartphone,Tecnologia,Belo Horizonte,Ana,3,4108
2024-06-14,Cadeira,Moveis,Recife,Lucas,2,2701
06/11/2024,Notebook,Tecnologia,Belo Horizonte,Ana,4,2014
2024-07-14,Teclado,Tecnologia,Curitiba,Carlos,4,2664
2024-07-15,Tablet,Tecnologia,Salvador,Carlos,4,2528
2024-12-27,Smartphone,Tecnologia,Belo Horizonte,Carlos,2,1332
2023-09-21,Mouse,Tecnologia,RIO DE JANEIRO,Fernanda,2,3719
09/09/2024,Tablet,Tecnologia,São Paulo,Ana,1,2202
2024-05-29,Tablet,Tecnologia,Salvador,Lucas,1,4543
2023-09-05,Mouse,Tecnologia,Salvador,Carlos,1,385
2024-03-31,Smartphone,Tecnologia,Salvador,Ana,1,1112
23/05/2024,Smartphone,Tecnologia,Rio de Janeiro,Pedro,1,1701
2024-03-24,Notebook,Tecnologia,Recife,Maria,4,1825
2023-09-19,Mesa,Moveis,Curitiba,Ana,3,2290
2023-01-12,Smartphone,Tecnologia,Fortaleza,,2,2825
2024-10-31,Tablet,Tecnologia,RIO DE JANEIRO,Fernanda,3,4019
05/11/2024,Teclado,Tecnologia,Recife,Maria,2,3078
2023-09-23,Tablet,Tecnologia,São Paulo,Carlos,1,4359
26/08/2023,Tablet,Tecnologia,RIO DE JANEIRO,Lucas,3,2630
26/04/2024,Teclado,Tecnologia,,Lucas,2,1063
2023-01-12,Mouse,Tecnologia,Recife,Maria,4,4287
2024-03-22,Teclado,Tecnologia,,,1,4238
2024-05-31,Mesa,Moveis,Rio de Janeiro,Lucas,2,4837
2023-02-25,Mesa,Moveis,Curitiba,João,3,2230
2023-07-09,Mouse,Tecnologia,Recife,Ana,3,499
2024-07-05,Mesa,Moveis,Recife,Ana,3,1503
2024-02-26,Mouse,Tecnologia,Fortaleza,Fernanda,3,1608
2023-04-02,Monitor,Tecnologia,Curitiba,Carlos,3,1864
21/01/2024,Mesa,Moveis,Curitiba,Maria,1,2393
2024-02-27,Mesa,Moveis,Curitiba,Lucas,1,2109
22/06/2023,Smartphone,Tecnologia,Curitiba,Ana,1,3142
02/07/2023,Tablet,Tecnologia,Rio de Janeiro,Pedro,2,645
2024-03-11,Notebook,Tecnologia,São Paulo,João,2,2544
2023-05-09,Notebook,Tecnologia,sao paulo,Lucas,4,1220
2024-12-15,Mouse,Tecnologia,São Paulo,Fernanda,4,4126
22/06/2023,Notebook,Tecnologia,sao paulo,João,4,2248
2023-02-12,Mesa,Moveis,São Paulo,Lucas,3,507
2023-10-04,Mouse,Tecnologia,Recife,Fernanda,3,465
2024-01-26,Monitor,Tecnologia,Curitiba,Carlos,3,3662
18/12/2023,Cadeira,Moveis,São Paulo,Fernanda,2,1673
2023-12-26,Tablet,Tecnologia,Recife,Carlos,2,erro
12/08/2024,Mouse,Tecnologia,,Maria,1,477
2024-11-06,Teclado,Tecnologia,Curitiba,Fernanda,4,869
2023-10-15,Tablet,Tecnologia,São Paulo,,2,622
2024-10-26,Mesa,Moveis,Recife,Lucas,2,
2023-10-15,Mouse,Tecnologia,Belo Horizonte,Fernanda,1,4088
2023-08-21,Notebook,Tecnologia,sao paulo,Carlos,1,3568
2023-08-26,Tablet,Tecnologia,Salvador,Carlos,4,1859
2023-12-11,Monitor,Tecnologia,Curitiba,Fernanda,1,
2023-10-10,Mouse,Tecnologia,Salvador,Pedro,3,4182
2024-12-01,Teclado,Tecnologia,Belo Horizonte,Lucas,3,802
2023-04-18,Cadeira,Moveis,sao paulo,João,4,3400
2023-09-18,Mouse,Tecnologia,RIO DE JANEIRO,Maria,4,1955
2023-10-29,Teclado,Tecnologia,RIO DE JANEIRO,Ana,3,3237
2024-08-20,Mouse,Tecnologia,RIO DE JANEIRO,Maria,2,2713
2024-01-12,Teclado,Tecnologia,Salvador,Pedro,4,1878
2024-11-28,Teclado,Tecnologia,Salvador,Pedro,1,1143
13/04/2024,Smartphone,Tecnologia,Recife,Ana,3,2552
2023-01-20,Notebook,Tecnologia,Fortaleza,Lucas,3,2663
2024-11-28,Tablet,Tecnologia,Rio de Janeiro,Carlos,4,4059
08/06/2023,Smartphone,Tecnologia,Fortaleza,Carlos,3,3988
2023-04-19,Tablet,Tecnologia,Fortaleza,Lucas,2,3074
2023-12-16,Mouse,Tecnologia,Recife,João,3,2628
2024-04-20,Monitor,Tecnologia,São Paulo,João,3,
2023-09-17,Cadeira,Moveis,Belo Horizonte,João,3,2110
2024-02-04,Smartphone,Tecnologia,São Paulo,Carlos,4,237
2024-09-21,Cadeira,Moveis,Fortaleza,Maria,1,2000
2023-10-29,Monitor,Tecnologia,Curitiba,Ana,1,
24/08/2024,Cadeira,Moveis,RIO DE JANEIRO,Ana,3,3078
2023-07-01,Cadeira,Moveis,Recife,João,4,4383
25/12/2024,Mouse,Tecnologia,Belo Horizonte,Pedro,4,4813
2023-08-08,Mesa,Moveis,RIO DE JANEIRO,Lucas,2,3571
09/07/2024,Cadeira,Moveis,Rio de Janeiro,Maria,4,
2024-03-16,Monitor,Tecnologia,Salvador,Fernanda,2,4100
2024-11-02,Mesa,Moveis,Curitiba,Maria,4,3826
2024-05-06,Smartphone,Tecnologia,Rio de Janeiro,Lucas,2,4360
21/08/2024,Monitor,Tecnologia,RIO DE JANEIRO,Lucas,4,2452
20/03/2024,Tablet,Tecnologia,RIO DE JANEIRO,Fernanda,2,4824
2023-10-16,Cadeira,Moveis,RIO DE JANEIRO,,1,672
2023-06-26,Cadeira,Moveis,São Paulo,Maria,2,1617
2024-05-31,Teclado,Tecnologia,Fortaleza,Lucas,4,3237
2023-03-27,Mesa,Moveis,Fortaleza,Fernanda,3,4766
2023-02-01,Notebook,Tecnologia,Recife,Carlos,4,1277
11/01/2024,Mesa,Moveis,RIO DE JANEIRO,Maria,3,1849
2023-01-26,Mouse,Tecnologia,São Paulo,Maria,2,4070
15/08/2023,Mouse,Tecnologia,Rio de Janeiro,Pedro,4,1914
2024-12-09,Monitor,Tecnologia,RIO DE JANEIRO,Ana,4,3757
2024-08-19,Teclado,Tecnologia,sao paulo,Maria,1,4754
2024-04-12,Smartphone,Tecnologia,Fortaleza,Pedro,2,2922
2023-02-09,Smartphone,Tecnologia,sao paulo,Lucas,4,
18/11/2024,Tablet,Tecnologia,Fortaleza,João,4,3113
2023-01-16,Mouse,Tecnologia,Rio de Janeiro,Ana,1,2010
2023-04-12,Mouse,Tecnologia,Curitiba,João,3,346
19/12/2023,Monitor,Tecnologia,RIO DE JANEIRO,Ana,4,3169
09/03/2024,Cadeira,Moveis,RIO DE JANEIRO,Lucas,4,3090
2023-08-14,Tablet,Tecnologia,Curitiba,Ana,4,4671
06/08/2023,Tablet,Tecnologia,RIO DE JANEIRO,Pedro,1,1798
2023-12-04,Mesa,Moveis,Salvador,João,1,2426
2024-09-11,Teclado,Tecnologia,Rio de Janeiro,Maria,3,1030
05/09/2023,Monitor,Tecnologia,São Paulo,Fernanda,3,2601
2024-10-01,Mesa,Moveis,Salvador,Fernanda,4,
16/06/2024,Mesa,Moveis,Recife,Ana,1,1048
2024-07-04,Notebook,Tecnologia,Salvador,Pedro,4,2357
11/02/2024,Monitor,Tecnologia,Curitiba,Carlos,2,2697
2024-10-20,Monitor,Tecnologia,sao paulo,Carlos,2,erro
2024-09-05,Smartphone,Tecnologia,Fortaleza,Pedro,4,4188
2023-10-02,Smartphone,Tecnologia,RIO DE JANEIRO,Pedro,4,2320
2024-01-10,Mouse,Tecnologia,sao paulo,Carlos,3,3090
06/11/2024,Teclado,Tecnologia,sao paulo,Ana,2,erro
2024-10-15,Notebook,Tecnologia,RIO DE JANEIRO,Ana,3,3148
2023-03-09,Monitor,Tecnologia,Belo Horizonte,Lucas,2,4108
07/03/2024,Cadeira,Moveis,Rio de Janeiro,Lucas,3,878
22/10/2024,Mesa,Moveis,São Paulo,Lucas,4,4040
2023-07-20,Teclado,Tecnologia,sao paulo,,4,1158
2023-10-28,Tablet,Tecnologia,RIO DE JANEIRO,Pedro,4,2479
27/08/2024,Smartphone,Tecnologia,Fortaleza,Ana,1,1673
30/03/2024,Mesa,Moveis,Rio de Janeiro,Maria,4,678
2023-12-27,Monitor,Tecnologia,RIO DE JANEIRO,Maria,3,4105
2024-07-26,Notebook,Tecnologia,São Paulo,João,2,4478
2024-09-12,Teclado,Tecnologia,Recife,João,4,241
01/12/2024,Teclado,Tecnologia,Recife,Ana,2,1313
2024-08-24,Notebook,Tecnologia,Salvador,Carlos,1,2068
10/12/2023,Notebook,Tecnologia,Belo Horizonte,Fernanda,1,955
2024-07-04,Notebook,Tecnologia,São Paulo,Ana,3,1617
2023-11-28,Monitor,Tecnologia,São Paulo,Lucas,1,1232
2023-04-13,Smartphone,Tecnologia,Belo Horizonte,Carlos,1,4715
06/03/2024,Teclado,Tecnologia,Rio de Janeiro,Ana,3,1975
2024-11-03,Cadeira,Moveis,Recife,João,2,1874
28/11/2023,Notebook,Tecnologia,RIO DE JANEIRO,Maria,3,4106
2023-09-23,Smartphone,Tecnologia,Belo Horizonte,Ana,3,3289
